text,aspect,label
"Pretty dry, but I was able to pass with just two complete watches so I'm happy about that",just two complete watches,2
"Pretty dry, but I was able to pass with just two complete watches so I'm happy about that",that,2
"As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken",which,2
"As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken",many microsoft tests,2
"As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken",some questions,2
"As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken",the course,2
"As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken",the final exam,2
"As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken",that,2
Never found the suplimental material that the course references,the suplimental material,2
Never found the suplimental material that the course references,the course,2
but who cares,who,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,text,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,a better experience,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,the video and screen shots,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,the text,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,beginning,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,user,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,the side,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,any slides instructor,2
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing,the instructor,2
Information was perfect,Information,2
The program itself was a little annoying,The program,2
The program itself was a little annoying,itself,2
I had to wait 30 to 45 minutes after watching the videos to to take the quiz,30 to 45 minutes,2
I had to wait 30 to 45 minutes after watching the videos to to take the quiz,the quiz,2
I had to wait 30 to 45 minutes after watching the videos to to take the quiz,the videos,2
Other than that the information was perfect and passed the test with no issues,the test,2
Other than that the information was perfect and passed the test with no issues,no issues,2
Other than that the information was perfect and passed the test with no issues,the information,2
A few grammatical mistakes on test made me do a double take but all in all not bad,all,2
A few grammatical mistakes on test made me do a double take but all in all not bad,A few grammatical mistakes,2
A few grammatical mistakes on test made me do a double take but all in all not bad,a double take,2
A few grammatical mistakes on test made me do a double take but all in all not bad,test,2
Excellent course and the training provided was very detailed and easy to follow,Excellent course,2
Excellent course and the training provided was very detailed and easy to follow,the training,2
Some of the quizzes contained material not explicitly covered in the course,the quizzes,2
Some of the quizzes contained material not explicitly covered in the course,material,2
Some of the quizzes contained material not explicitly covered in the course,Some,2
Some of the quizzes contained material not explicitly covered in the course,the course,2
Solid presentation all the way through,Solid presentation,2
I really appreciated the intermittent questions that popped up to check on learning as well the regular (but not needless) quizzing,the regular (but not needless) quizzing,2
I really appreciated the intermittent questions that popped up to check on learning as well the regular (but not needless) quizzing,that,2
I really appreciated the intermittent questions that popped up to check on learning as well the regular (but not needless) quizzing,the intermittent questions,2
There was visuals such as charts /,charts,2
There was visuals such as charts /,visuals,2
ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation,the video,2
ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation,the presentation,2
ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation,those,2
ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation,ppt,2
ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation,a transcript,2
ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation,that,2
Probably the best certification course I've taken in this respect,Probably the best certification course,2
Probably the best certification course I've taken in this respect,this respect,2
"The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around",my exam,2
"The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around",The course,2
"The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around",everything,2
The trainer for the majority of the course was awesome,the majority,2
The trainer for the majority of the course was awesome,The trainer,2
The trainer for the majority of the course was awesome,the course,2
"She delivered the material in a great, professional mannor, but was never boring or monotoned",She,2
"She delivered the material in a great, professional mannor, but was never boring or monotoned",the material,2
"She delivered the material in a great, professional mannor, but was never boring or monotoned","a great, professional mannor",2
The ProctorU,The ProctorU,2
com system took 2 times the amount of time spent on this course over 3 days to complete,com system,2
com system took 2 times the amount of time spent on this course over 3 days to complete,2 times the amount,2
com system took 2 times the amount of time spent on this course over 3 days to complete,time,2
com system took 2 times the amount of time spent on this course over 3 days to complete,this course,2
It is the worse production user system I have used in 20+ years of my IT career,my IT career,2
It is the worse production user system I have used in 20+ years of my IT career,20+ years,2
It is the worse production user system I have used in 20+ years of my IT career,the worse production user system,2
You should switch to another vendor,You,2
You should switch to another vendor,another vendor,2
Covered all of the required information in an easy to understand way and WITH VIDEO,all,2
Covered all of the required information in an easy to understand way and WITH VIDEO,the required information,2
Covered all of the required information in an easy to understand way and WITH VIDEO,VIDEO,2
Covered all of the required information in an easy to understand way and WITH VIDEO,an easy,2
"Great, easy way to learn","Great, easy way",2
"The exam process was a bit drawn out and more extensive then it needed to be, but over all a great experience",The exam process,2
"The exam process was a bit drawn out and more extensive then it needed to be, but over all a great experience",all a great experience,2
"Great course, lectures were straight forward and easy to follow along",lectures,2
The course provided all the information necessary to pass the CPI examination for certification,the CPI examination,2
The course provided all the information necessary to pass the CPI examination for certification,The course,2
The course provided all the information necessary to pass the CPI examination for certification,all the information,2
The course provided all the information necessary to pass the CPI examination for certification,certification,2
The course was straight forward and prepared me for the CPI exam,The course,2
The course was straight forward and prepared me for the CPI exam,the CPI exam,2
The course provided everything I needed to pass the exam,The course,2
The course provided everything I needed to pass the exam,the exam,2
The course provided everything I needed to pass the exam,everything,2
Thanks Google,Thanks,2
